year,date,max_rainfall_mm,mean_rainfall_mm,heavy_cells,very_heavy_cells,extreme_cells,severity_score
2015,2015-07-26,334.4832763671875,13.054893493652344,212,68,17,385.4832763671875
2015,2015-07-27,290.5560607910156,11.079479217529297,185,54,9,326.5560607910156
2015,2015-07-28,426.5783386230469,13.982284545898438,300,155,57,561.0783386230469
2015,2015-07-29,378.90673828125,9.969688415527344,214,92,32,456.90673828125
2015,2015-08-01,171.043701171875,8.336983680725098,135,19,0,180.543701171875
2015,2015-08-03,214.04415893554688,7.407864093780518,81,19,1,224.54415893554688
2015,2015-08-04,205.01751708984375,8.033348083496094,100,21,1,216.51751708984375
2015,2015-08-05,259.11737060546875,10.321744918823242,208,110,11,325.11737060546875
2015,2015-08-12,231.833984375,9.301193237304688,47,1,1,233.333984375
2015,2015-08-16,353.7885437011719,10.398822784423828,57,12,8,367.7885437011719
2015,2015-08-17,187.50723266601562,8.50677490234375,84,15,0,195.00723266601562
2015,2015-08-18,471.8529052734375,10.132742881774902,104,37,9,499.3529052734375
2015,2015-08-19,679.2213134765625,8.19250202178955,60,19,11,699.7213134765625
2015,2015-08-20,329.96099853515625,8.777122497558594,142,48,18,371.96099853515625
2015,2015-08-21,290.3908386230469,7.530297756195068,116,47,18,331.8908386230469
2015,2015-08-30,220.6914520263672,8.360028266906738,176,65,4,257.1914520263672
2015,2015-08-31,361.489990234375,7.739688396453857,150,31,8,384.989990234375
2015,2015-09-15,188.58804321289062,6.3600287437438965,77,22,0,199.58804321289062
2015,2015-09-16,219.82791137695312,7.499886512756348,104,39,3,242.32791137695312
2015,2015-09-17,175.08978271484375,6.58876895904541,123,11,0,180.58978271484375
2015,2015-09-18,155.23069763183594,6.298655986785889,136,19,0,164.73069763183594
2015,2015-09-19,182.3771209716797,5.581356048583984,77,18,0,191.3771209716797
2015,2015-09-20,201.37545776367188,8.00660228729248,90,16,0,209.37545776367188
2015,2015-09-21,159.4813232421875,10.986279487609863,94,11,0,164.9813232421875
2015,2015-09-23,396.70599365234375,8.905935287475586,131,45,10,429.20599365234375
2015,2015-11-09,187.0528564453125,1.4992899894714355,39,18,0,196.0528564453125
2015,2015-11-10,327.3019714355469,4.166177272796631,121,56,5,360.3019714355469
2015,2015-11-11,211.13729858398438,1.6555521488189697,29,9,1,216.63729858398438
2015,2015-11-13,265.74664306640625,1.7903896570205688,14,6,1,269.74664306640625
2015,2015-11-16,316.61993408203125,3.0978944301605225,72,41,18,355.11993408203125
2015,2015-11-17,276.8761901855469,2.867879629135132,62,30,6,297.8761901855469
2015,2015-12-02,399.8245849609375,2.465325355529785,39,26,13,425.8245849609375
2018,2018-05-24,228.6437225341797,2.8728842735290527,31,13,1,236.1437225341797
2018,2018-05-25,230.13278198242188,3.525235891342163,41,10,2,237.13278198242188
2018,2018-05-30,277.6764221191406,2.0172743797302246,26,7,2,283.1764221191406
2018,2018-06-08,170.39830017089844,5.709438323974609,75,24,0,182.39830017089844
2018,2018-06-09,240.10682678222656,5.999475955963135,68,11,3,248.60682678222656
2018,2018-06-10,261.1669616699219,7.000958442687988,92,24,2,275.1669616699219
2018,2018-06-11,249.9053192138672,6.348909854888916,73,16,1,258.9053192138672
2018,2018-06-12,245.33157348632812,7.081063270568848,110,30,2,262.3315734863281
2018,2018-06-13,186.3504638671875,6.267338752746582,73,20,0,196.3504638671875
2018,2018-06-14,229.5224609375,6.152076721191406,111,25,2,244.0224609375
2018,2018-06-15,199.71597290039062,4.6150102615356445,98,10,0,204.71597290039062
2018,2018-06-20,241.99790954589844,3.052459716796875,37,5,1,245.49790954589844
2018,2018-06-21,332.8304748535156,3.9988455772399902,41,13,4,343.3304748535156
2018,2018-06-23,213.12283325195312,6.024100303649902,54,14,1,221.12283325195312
2018,2018-06-24,298.4367980957031,5.479471683502197,60,15,8,313.9367980957031
2018,2018-06-25,215.57208251953125,5.719343185424805,78,23,3,230.07208251953125
2018,2018-06-26,226.24964904785156,9.41182804107666,165,49,3,253.74964904785156
2018,2018-06-28,244.38385009765625,12.401036262512207,105,18,1,254.38385009765625
2018,2018-07-01,218.1448516845703,6.090525150299072,92,32,3,237.1448516845703
2018,2018-07-02,227.3927764892578,9.034873008728027,132,46,5,255.3927764892578
2018,2018-07-03,169.44082641601562,10.303361892700195,118,14,0,176.44082641601562
2018,2018-07-04,245.81044006347656,8.923887252807617,98,42,7,273.81044006347656
2018,2018-07-05,174.4242401123047,7.476553916931152,85,26,0,187.4242401123047
2018,2018-07-06,173.7350311279297,6.0684943199157715,66,14,0,180.7350311279297
2018,2018-07-07,235.5426025390625,7.422177314758301,110,45,6,264.0426025390625
2018,2018-07-08,253.5310516357422,7.839462757110596,83,29,2,270.0310516357422
2018,2018-07-09,290.2990417480469,7.453930854797363,79,16,4,302.2990417480469
2018,2018-07-10,236.2171173095703,8.551340103149414,102,19,3,248.7171173095703
2018,2018-07-11,158.7368927001953,8.941706657409668,130,19,0,168.2368927001953
2018,2018-07-12,197.48153686523438,10.610620498657227,119,12,0,203.48153686523438
2018,2018-07-13,169.99522399902344,11.85068130493164,149,30,0,184.99522399902344
2018,2018-07-14,182.91297912597656,9.552438735961914,95,14,0,189.91297912597656
2018,2018-07-15,246.6194610595703,10.665891647338867,116,28,2,262.6194610595703
2018,2018-07-16,232.452880859375,12.457077026367188,222,57,3,263.952880859375
2018,2018-07-17,403.1428527832031,13.44680118560791,173,34,6,426.1428527832031
2018,2018-07-18,319.0860900878906,9.380821228027344,124,34,5,341.0860900878906
2018,2018-07-21,256.86456298828125,10.796553611755371,147,26,3,272.86456298828125
2018,2018-07-22,534.245849609375,12.922210693359375,187,33,11,561.745849609375
2018,2018-07-26,205.31993103027344,11.689146995544434,112,17,1,214.81993103027344
2018,2018-07-27,230.0136260986328,7.571653366088867,55,10,1,236.0136260986328
2018,2018-07-28,199.00840759277344,5.980240821838379,54,12,0,205.00840759277344
2018,2018-08-06,351.58575439453125,5.558655738830566,46,10,3,359.58575439453125
2018,2018-08-07,364.50665283203125,6.523406505584717,32,4,1,367.50665283203125
2018,2018-08-09,301.1153869628906,7.283097743988037,53,15,6,314.6153869628906
2018,2018-08-12,261.0730895996094,10.75028133392334,155,40,6,287.0730895996094
2018,2018-08-13,266.45538330078125,11.269181251525879,173,37,4,288.95538330078125
2018,2018-08-14,255.54034423828125,7.931943416595459,96,25,6,274.04034423828125
2018,2018-08-15,246.07943725585938,8.10689926147461,130,56,7,281.0794372558594
2018,2018-08-16,348.8282775878906,13.95337963104248,219,74,18,403.8282775878906
2018,2018-08-17,212.90538024902344,10.568758964538574,235,59,1,243.40538024902344
2018,2018-08-20,283.40838623046875,9.988504409790039,134,30,1,299.40838623046875
2018,2018-08-21,217.15725708007812,12.754446983337402,173,26,1,231.15725708007812
2018,2018-08-22,202.2604217529297,8.21804141998291,117,18,0,211.2604217529297
2018,2018-08-24,292.0879211425781,7.106479167938232,71,22,5,308.0879211425781
2018,2018-08-27,178.17547607421875,7.6541361808776855,86,21,0,188.67547607421875
2018,2018-09-01,198.3276824951172,7.552821159362793,70,15,0,205.8276824951172
2018,2018-09-02,269.548095703125,7.118703842163086,60,12,2,277.548095703125
2018,2018-09-03,233.52357482910156,5.9503655433654785,25,3,1,236.02357482910156
2018,2018-09-06,371.0582580566406,6.828927040100098,65,19,10,390.5582580566406
2018,2018-09-07,162.7975616455078,7.742676734924316,86,12,0,168.7975616455078
2018,2018-09-08,152.17715454101562,5.6394147872924805,59,15,0,159.67715454101562
2018,2018-09-10,301.1708679199219,4.279551029205322,64,24,8,321.1708679199219
2018,2018-09-21,245.7316131591797,6.590549945831299,80,26,3,261.7316131591797
2018,2018-09-23,144.4610595703125,8.096704483032227,168,22,0,155.4610595703125
2018,2018-09-24,220.0133514404297,8.266799926757812,125,33,3,239.5133514404297
2018,2018-09-25,165.4531707763672,4.749655246734619,71,12,0,171.4531707763672
2018,2018-10-11,207.52708435058594,3.552983045578003,73,21,1,219.02708435058594
2018,2018-10-12,287.218994140625,5.6790242195129395,126,43,9,317.718994140625
2018,2018-11-17,223.0559539794922,1.817216396331787,16,4,1,226.0559539794922
